Date,Rating,User,Review
"November 5, 2019",5,Sam," As an entomologist this game seems made for me. The butterflies are real species, the art and design are gorgeous, everything is in motion and feels alive, and the caterpillars are precious. I just came to give my 5star review because, aside from the game is just brilliant, dev team was quick to res...Full ReviewAs an entomologist this game seems made for me. The butterflies are real species, the art and design are gorgeous, everything is in motion and feels alive, and the caterpillars are precious. I just came to give my 5star review because, aside from the game is just brilliant, dev team was quick to respond to me wanting to transfer my game between phones without social media and did so with no issues, so thank you for that! I only wish we could name our butterflies but that might be kind of chaotic"
"October 30, 2019",4,Michelle Sapphire," Hey... i really enjoy this game, i appreciate the fact that this game is actually playable without buying stuff and spending money( its difficult but possible) .. not everyone has money to spend on a mobile game. But hey.. i got 2 suggestions.. 1: if you guys have control over the types of ads that ...Full ReviewHey... i really enjoy this game, i appreciate the fact that this game is actually playable without buying stuff and spending money( its difficult but possible) .. not everyone has money to spend on a mobile game. But hey.. i got 2 suggestions.. 1: if you guys have control over the types of ads that are played. Could you not use interactive/playable ads with the -30 min because it doesn't work and is just a waste of time.. 2: Spider sanctuary... 🤩🤩 wouldn't that be dope???"
"September 23, 2019",4,Coast Canine," Flutter is such an adorable and addicting game! Although, I'm not sure whether this is from my phone or if it's a known problem, but very often when I'm navigating through the menus, it doesn't register when I tap and it exits the menu. It's gotten quite annoying, especially when I'm trying to fuse ...Full ReviewFlutter is such an adorable and addicting game! Although, I'm not sure whether this is from my phone or if it's a known problem, but very often when I'm navigating through the menus, it doesn't register when I tap and it exits the menu. It's gotten quite annoying, especially when I'm trying to fuse my flowers and check on what butterflies I've collected. So far, this is my only complaint, everything is beautiful."
"October 14, 2019",3,maya sanchez," It's a great way to pass the time, the graphics are nice and cute but the trouble you go through just to unlock one little part of the garden is ridiculous. 10/13/19 Removed a star because of the recurring issue with the stupid calendar. You guys really should get it together."
"October 21, 2019",4,Anna Bean," As an avid butterfly lover, I love this game, but it irritates me that the peacock butterfly's hindwings don't have the correct colouring and pattern - in reality they are very dark, almost black underneath, and resemble a dead leaf, not the same colours and patterns as on the top."
"October 28, 2019",5,Arthur Haze," I genuinely enjoy the game! It's relaxing, and learning about moths or butterflies has helped me surprise my fiance by talking about his special interest with him. It's a lovely game. The music is great, and everything is pretty straight forward."
"September 10, 2019",5,Ash Morris," I love this game but the current event is stupid. The way you get flowers is horrible as you get them when you collect honeydew BUT you can also get the regular flowers which really kills the chance of getting event flowers, so I would really like it if the developers changed the chance of getting e...Full ReviewI love this game but the current event is stupid. The way you get flowers is horrible as you get them when you collect honeydew BUT you can also get the regular flowers which really kills the chance of getting event flowers, so I would really like it if the developers changed the chance of getting event flowers or just didn't run events like this again in the future. Other than that I highly recommend this game!!"
"October 3, 2019",2,Grace Wilson," I used to love this game but it took forever to wait for eggs to hach and to get eanout food to level up. So I deinstalled it, now I want to give it a second chance. As all my progress and achivevments are saved on my google play account I thought it would be easy just to recover my account, but is ...Full ReviewI used to love this game but it took forever to wait for eggs to hach and to get eanout food to level up. So I deinstalled it, now I want to give it a second chance. As all my progress and achivevments are saved on my google play account I thought it would be easy just to recover my account, but is says that there are no accounts when I selected recover account. Very disappointed and upset as I would have to have to start all over again. Please could someone help me with this problem..."
"September 11, 2019",1,vedant rattan, Though the game is amazing Events are impossible to complete. And this game is all about events. You can barely complete a set of butterflies and never perfect it in one go. And the same set never repeats. Aka you have to spend a lot.. really a lot just to complete 1 set of butterflies. And spoiler ...Full ReviewThough the game is amazing Events are impossible to complete. And this game is all about events. You can barely complete a set of butterflies and never perfect it in one go. And the same set never repeats. Aka you have to spend a lot.. really a lot just to complete 1 set of butterflies. And spoiler alert there are way to many..
"September 9, 2019",5,Jessica Dente," The game is beautiful and fun to play. I prefer it to Flutter: Starlight, as it's easier to level up and feels less frustrating. I wish it were easier to make game friends without using Facebook contacts. However, the events are well thought-out and the design is so pretty."
"September 15, 2019",5,Jessie, Great little game! Lots to do lots to collect. The butterflys are beautiful. I love that it actually teaches also. Not just a fun game you can learn from it to.
"November 8, 2019",5,Julie M.," I absolutely love the real butterflies, but they're all the better because they're so adorably rendered!"
"August 26, 2019",2,MozarteanChaos," an alright game, but you need a facebook account to save your progress. i lost all my progress when changing to a new phone, but i wouldnt use facebook if my life depended on it. needs a way to attach to google play account"
"October 26, 2019",4,Angie Polman, Normally love my butterflies but the last update messed things up. Everytime I hatch the last egg or try to check the butterflies it says something has gone wrong and starts that game over Help please
"September 22, 2019",5,Sonja Bradshaw, I like the game. The only thing I wish would change is the amount it takes to open the next section. Way too long to aquire enough to expand sanctuary.
"October 26, 2019",2,Orlando Anguiano, I wish this game was more like Starlight with frequent frog treats and slightly easier leveling up. This game is super cute but loses momentum relatively fast.
"November 8, 2019",3,irene johnson, Some missions not clear enough and too slow and expensive to clear an area.
"September 29, 2019",5,Angel VII, A nice relaxing game for collecting and raising various species of butterflies. Play for as much or little time as you want at a time.
"October 24, 2019",5,Phoebe Bates," Such a relaxing game to play in my spare time, never bored of it, love the music too. :)"
"August 27, 2019",4,Kodi Cakes, I love starlight and flutter but the only thing I request is you make the games idk compatable with Google cause I lost all my progress because i do not have Facebook. You could say make a Facebook account but I dont want or need one. If you could do that that would be amazing.
"October 11, 2019",5,Strawberry Racie, The pattern of raising butterflies and leveling up each one of them is so calming. Been playing this game for years.
"October 24, 2019",5,Audrey Maxine, Awesome game for passing time. Love the bright colours an background music.
"September 18, 2019",2,Anna Shim, Can not play unless I am on wifi. Support has not helped me. I was not asking to play offline just without wifi.
"August 26, 2019",5,Christy Cridlebaugh, It's relaxing. Has wonderful music and background sounds. I'm learning a lot about where they come from and the special way they act. I.e.- one partners up with ants and aphids.
"November 7, 2019",2,Sally -, My internet is okay but why it's still can't let me play this game...i don't have connections problems 😞😞
"September 26, 2019",5,Savannah Kocharyan, Very soothing game. I've had it for years now and still love it.
"October 5, 2019",1,D B," Why does it only show ""There has been a problem with the game"" ?"
"November 7, 2019",1,Shaquille Ellison, There is something wrong with the app. I cant open it and im worried i wont be able to complete the event in time
"August 26, 2019",3,Jeanie hook, Not as good as flutter Starlight moths. Rarely ever get any firefly treats for flowers in this game. My flower box always seems empty.
"October 10, 2019",4,Naomi Chen, I like it but my device is very slow so I can only hatch one butterfly its cute but I need fixing on my device I'm using
"September 15, 2019",5,Mariam Hakam, Just perfect! I really appreciate the minds and hearts behind this gorgeous game!
"October 24, 2019",5,Aoi Mizuki Tsukino," I love this game, its relaxing and easy to play."
"September 26, 2019",4,Michelle Yourdon," it is relaxing , and neat to learn the names of the different butterflies. and where you can find them."
"September 19, 2019",1,Misty Treadway," You really need to make it to where you can get flowers, especially for the event, easier to get, as well as, flutter bucks."
"September 3, 2019",5,Internet Dragon, I love it but I WANTED A GAME AND I HAD TO DELETE IT can you please save games in the cloud
"October 2, 2019",5,Stefan Kirkpatrick, Rely fun and esay to play l reccemend it is ok for kids to play.
"September 29, 2019",5,Weroniko, This is the best peaceful game there is. Calming. Relaxing.
"October 24, 2019",5,Jorge Eliz, So beautiful!!! Love LEARNING while playing! :-)
"June 20, 2019",4,SarHa loves turtles," its a decent game, if you're into collecting and discovering new species then this is for you. The waiting time for different things in this game either takes a few minutes or a lot of hours and its mostly hours so its not really fun that way since there isnt much to do in the game anyways except fo...Full Reviewits a decent game, if you're into collecting and discovering new species then this is for you. The waiting time for different things in this game either takes a few minutes or a lot of hours and its mostly hours so its not really fun that way since there isnt much to do in the game anyways except for waiting and collecting coins and expanding your space in the game for more butterflies that require more waiting, but i think the animations and graphics are well done."
"August 2, 2019",2,Anthoni Fortier," It's an okay game plagued by the usual aggressive monetization showing down the pace. There are pollen which you use to level up your butterflies, but instead of waiting longer but paying less in game currency for bulk, you actually have to pay more and wait longer. You also can't run any of your ow...Full ReviewIt's an okay game plagued by the usual aggressive monetization showing down the pace. There are pollen which you use to level up your butterflies, but instead of waiting longer but paying less in game currency for bulk, you actually have to pay more and wait longer. You also can't run any of your own audio on the background. It is incredibly beautiful and I'm disappointed at it's flaws."
"August 11, 2019",3,Pattye Ann," Having played both this one and the Starlight version, I have to say that this is the weaker of the two. More costly, which leads to slower play, and just an overall different feel which is slight but noticeable. Not bad per se, but takes too long to really get going. Worth a try, but I'd definitely...Full ReviewHaving played both this one and the Starlight version, I have to say that this is the weaker of the two. More costly, which leads to slower play, and just an overall different feel which is slight but noticeable. Not bad per se, but takes too long to really get going. Worth a try, but I'd definitely recommend Flutter Starlight Sanctuary instead."
"August 26, 2019",2,Baillie Schwint, App shuts down for virtually any reason.
"July 12, 2019",5,MrsMackie71, I love the game but as a long time player it can become boring once you've cleared all the forest n hatched egg layers to help with events etc. Bring in more forest expansion and introduce new flowers to collect to make new groups etc. I only ever log in and play now when there's an event. More for ...Full ReviewI love the game but as a long time player it can become boring once you've cleared all the forest n hatched egg layers to help with events etc. Bring in more forest expansion and introduce new flowers to collect to make new groups etc. I only ever log in and play now when there's an event. More for long time loyal fans please!
"July 11, 2019",5,Feng Wang," a good way to pass the time. Hate that the log in our account has to be facebook. would like a Google log in. just won't make an account. Hate Facebook. aesthetically pleasing. the caterpillar faces are cute. wish all the special butterflies had useful special powers instead of some having special e...Full Reviewa good way to pass the time. Hate that the log in our account has to be facebook. would like a Google log in. just won't make an account. Hate Facebook. aesthetically pleasing. the caterpillar faces are cute. wish all the special butterflies had useful special powers instead of some having special effect powers. put the game down and picked it up a few times, restarting each time never bothered me. only quit due to losing interest due to normal ADHD things. Nothing actually bad with the game."
"September 25, 2019",4,Nanci Ives," Beautiful, but can get frustrating."
"September 25, 2019",3,Blurple Butterfly, Would like a side game to earn some items. Maybe a match 3 or puzzle
"October 18, 2019",5,Adriana Van Leeuwen, Very calming and surprisingly educational.
"October 30, 2019",5,Erin Tucker, This game is really relaxing I think you should get it please for me you'll love it
"September 30, 2019",1,Regina Querimit, same old story...have to spend too much money to keep up. So i don't. More stars if more $$ friendly.
"July 30, 2019",5,Wendolyn Trozzo," Fun and calming. it's really a game of leveraging in-game resources, but its also beautiful. You can play for free, though i decided to pay a couple of times - which is very rare for me, and says how much i enjoy the game."
"August 28, 2019",5,T Graham, Love it!! Might be better than their moth game! You are able to progress with out $$ so yay!
"July 24, 2019",1,Soné Botha," I love the Starlight one and got far. With flutter I cant get passed upgrading a flower. When i click it as the bird suggest, it just hops back to arrows showing to the flower. Please fix this bug as i dont want to delete this game."
"September 29, 2019",5,Patience Blum, In love with how BEAUTIFUL this game is! I cannot get enough of this game! EVERYBODY! You should paly this game!
"July 19, 2019",3,Eli Winston, After playing both this and their other game Starlight I will have to say this one is the lesser or the two. not very addictive and the economy seems very unbalanced. lost interest quickly even during the events.
"August 6, 2019",5,Ciara Rhodes," i love this game so much. i played it as a kid and i've recently found it again and i can't stop playing. i love the art and concept of flutter, it's so pretty and fun :-)"
"September 7, 2019",5,Jenna Huff, Love this game because I'm learning about the night time butterflies an the different months that night forge for pollen
"June 20, 2019",5,star claws, This game has great graphics and the control's are really nice and all the colours are pleasing to the eye. Overall this is on of my favorite games.
"July 14, 2019",4,Artemis Richardson, so I love this game my only problem was when I had a butterfly that was fully leveled up and I stored it it just disappeared and then two others wouldn't fuse so a lot of time wasted and pollen for nothing but otherwise fabulous
"July 13, 2019",5,Kortney Rau, I've been playing this game since 2014 and I absolutely love not just this game but every single game that this game company has made. I strongly urge you to play this game if you love a leisurely paced game 😁💖
"August 18, 2019",5,Ava Forbes," This game is amazingly easy, fun, and beautiful! So what are you waiting for? you defiantly should download this game!😁"
"July 1, 2019",5,Mallory ~," fixed the crashing issue by both reinstalling and restarting my phone, must've been my phone not the game. (:. stuff's a little expensive and its a tad frustrating but still a lovely calming game"
"September 28, 2019",5,Cortni Merritt, This game is relaxing and fun.super cute
"June 29, 2019",5,Bobbie Jernigan, I love the game but opening other area's should be easier and cheaper. and the extras shoulder easier to get without using cash to buy them
"June 29, 2019",4,Paulius Dautoras, i love this game but now it says your sactuary doesnt load if your connected to the internet contact the support cast so here i am. it would be a 5 star but becouse this a 4 star
"June 19, 2019",5,Samantha Quinn," Love the game it's addictive and fun ,can't stop playing it only thing is I never received any of the gifts I get after I have done a goal."
"July 6, 2019",3,Ashlene crazy kid, I love the game exept I'm having one issue. when I go to open that encicopidea my game crashes. I can't claim any rewards due to this.
"July 8, 2019",5,Tayla Pedersen, So relaxing and fun! Nothing bad at all. This game makes me happy! And there is more to it than just butterflies. I heart this game!
"June 28, 2019",5,Rebecca Mitchell," Super cute game, great graphics and I love that youre collecting REAL butterflies and other creatures!! Its fun and educational!"
"July 13, 2019",4,Eric Mogielnicki," lots of fun. there is a bit of a paywall, but this game is meant to be relaxed and slow, so you can ignore it."
"August 6, 2019",5,Julie Murphy, its great! there is so much to do and so much to explore and butterflies to collect!
"July 18, 2019",5,toffee cake, its soooo calming and relaxing!this is a great game to deal with anxiety and stress!
"August 13, 2019",5,Winter Rose Thibodeaux, Such a calm and relaxing game. Love playing daily to unwind
"July 16, 2019",2,Ann Cat1, Tried to establish an account but only options were to log into Facebook or play as a guest. I wouldn't open a Facebook account if it was the only game in town. Uninstalling Flutter.
"September 29, 2019",1,classic drawings iii, Thus game is good but it turns black whwen the game starts please fix the game i want to play it
"June 24, 2019",4,Ghaida Saudgç7, i love this game but now it closes whenever i open it i tried to uninstall and reinstall it again but i have the same problem please tell me what to do or fix it thank you
"July 25, 2019",5,Alex Xander," I love the game. it's educational the graphucs is good, runs smoothly."
