Date,Rating,User,Review
"October 17, 2019",1,John Hatrick-Smith," I am having similar issues with TV3 within the Freeview environment on my Android TV. The programme plays for a while and then just stops. It's not buffering as I am on fast fibre, other channels stream just fine as does 4K video on multiple devices. Come on TV3, sort it out. Please note, I can't su...Full ReviewI am having similar issues with TV3 within the Freeview environment on my Android TV. The programme plays for a while and then just stops. It's not buffering as I am on fast fibre, other channels stream just fine as does 4K video on multiple devices. Come on TV3, sort it out. Please note, I can't submit this comment without a rating, if it was possible to rate it without a rating I would have."
"October 31, 2019",1,Christina Mackay," The worst streaming app I've ever used. Constantly having to restart it. The app will suddenly have an error and I will have to guess how far along in an episode I am to then skip to that point, and then watch more ads before I can continue viewing (assuming I'm approximately at the right part of an...Full ReviewThe worst streaming app I've ever used. Constantly having to restart it. The app will suddenly have an error and I will have to guess how far along in an episode I am to then skip to that point, and then watch more ads before I can continue viewing (assuming I'm approximately at the right part of an episode). Bloody shocking."
"September 18, 2019",1,Anna A, Oh my god! PLEASE just design a non-frustrating app! It constantly drops (this never happens with the 3 other streaming apps i have). With Chromecast it doesn't register the eps you're up to or what you have watched in one ep. So when it drops it's SUPER fun watching 5 minutes of ads just to find ou...Full ReviewOh my god! PLEASE just design a non-frustrating app! It constantly drops (this never happens with the 3 other streaming apps i have). With Chromecast it doesn't register the eps you're up to or what you have watched in one ep. So when it drops it's SUPER fun watching 5 minutes of ads just to find out where you were. Why on EARTH can you not star or make a list of shows you want to watch! Why do i have to search for them each time! Stop automatically playing a show I might like! This sucks!
"September 8, 2019",1,Tech TRD86," Complete and utter garbage. Three now logo appears and under it is ""tap to try again"" No matter how many times you tap it, it wont go any further. Wifi is on. Rebooted device, no difference. TVNZ on demand and Netfix apps work great. Far more negative reviews than positive ones. Time to hit the unin...Full ReviewComplete and utter garbage. Three now logo appears and under it is ""tap to try again"" No matter how many times you tap it, it wont go any further. Wifi is on. Rebooted device, no difference. TVNZ on demand and Netfix apps work great. Far more negative reviews than positive ones. Time to hit the uninstall button I think."
"September 9, 2019",1,Ash H," Easily the worst of all TV/Streaming apps. Glitchy and rubbish while watching on phone. When trying to cast it takes so long to load, often comes up with 'retry', when it finally connects to chromecast it freezes and then plays in low quality. This has been an ongoing issue for as long as I can reme...Full ReviewEasily the worst of all TV/Streaming apps. Glitchy and rubbish while watching on phone. When trying to cast it takes so long to load, often comes up with 'retry', when it finally connects to chromecast it freezes and then plays in low quality. This has been an ongoing issue for as long as I can remember."
"November 6, 2019",1,Teacher Campbell, Keeps crashing and glitching constantly. I have given up on starting Three shows because it is too frustrating to try and catch up on shows you miss. Watching a 1 hours episode can take up 2 hours due to the glitching and having to rewatch the adverts when you restart the app.
"November 4, 2019",1,Mirinia McVay," Can anyone tell me how to uninstall this app from my laptop, It works okayish from my phone but it wont let me cast from my lappy and its always faulting out (as per others reviews ) Im over it and now just to be doubly annoying, There appears to be no 'uninstall' option. Annoying af"
"September 19, 2019",3,Sami," Overall I would give it an ""Ok"" I wish it would display when the next episode is due out(including time not just date), and I wish it would be easier to navigate. Doesn't compare to TVNZ on demand at all. It is fine for actually watching the content but not great."
"October 13, 2019",1,Tanya Douglas," This app is awful. It constantly stops working,buffers or restarts an episode from the beginning again, doesn't matter how far through you are. Today's ice had to uninstall & reinstall three times and I still can't watch what I want to watch. Being used via WiFi connection at home."
"November 2, 2019",1,Chloe Bingham, Can you guys please hurry up and fix this ridiculous excuse of a streaming app. Can't even watch 2 mins of a show without buffering. Then coming up with an error. Or starting from the beginning again...
