Date,Rating,User,Review
"October 18, 2019",1,Matt W," This app is missing essential information and features that prepay customers need. Firstly it doesn't display credit expiry dates so you can't see when you next need to top up before they will take your existing credit. The app also doesn't notify you when your credit is about to expire, even though...Full ReviewThis app is missing essential information and features that prepay customers need. Firstly it doesn't display credit expiry dates so you can't see when you next need to top up before they will take your existing credit. The app also doesn't notify you when your credit is about to expire, even though there are notifications for just about everything else. Nor does it allow you to automatically top up your account by the minimum amount in order to avoid losing your credit."
"October 16, 2019",5,O.M.G!! Old Man Gamer," Fantastic app, does what it says. eryn Lear instructions and help. only issue is that so.etumes it doesn't text me, when it's about to renew; meaning that twice when my account had massive amounts of text, data and minutes (roll over). the account went into hold, which means when u renewed all that ...Full ReviewFantastic app, does what it says. eryn Lear instructions and help. only issue is that so.etumes it doesn't text me, when it's about to renew; meaning that twice when my account had massive amounts of text, data and minutes (roll over). the account went into hold, which means when u renewed all that had rolled over was gone!! funny though this only happens when account has built up a huge amount of roll over units? funny that... otherwise a solid and well structured app. cheers"
"September 22, 2019",1,Alice Wynyard," My samsung note 9 has detected this app to be using the camera! This has happened on numerous occasions. I have turned the camera permission off. But reading into the apps permissions it still is capable of using the camera when it wants. As well as other private things. Very disturbing and I'll be ...Full ReviewMy samsung note 9 has detected this app to be using the camera! This has happened on numerous occasions. I have turned the camera permission off. But reading into the apps permissions it still is capable of using the camera when it wants. As well as other private things. Very disturbing and I'll be uninstalling, even though I need it. Not worth it. Poo vodafone."
"October 18, 2019",2,Mark Smith, Barely adequate. Used to work very well. They exchanged useful features for a pretty cover. Harder to use now but real pretty. Wastes time. Now I'm forced to upgrade without the option of waiting. Last time it failed to work so I'm leery about seeing this mandated upgrades.
"October 16, 2019",2,Rodney King," The app works well these days.. but I have had to change from Vodafone SIM to a different one to receive confirmation numerical texts from my bank. This is after several conversations with both sides. Each says it's not THEIR fault, it's the other's!"
"September 18, 2019",1,archie fabro, Vodafone doesn't sort out any issues. I called up support and reported the issue of my plan being renewed but after 2 minutes all my data and money are gone. They sorted it out the first time the it happened again.
"November 11, 2019",1,Natasha George, I think the app should allow you to still operate when no data available or credit so you don't have to use a recharge voucher or be in the presence of wifi.
"October 29, 2019",1,Anita Collie," Appears to be broken. App logs out immediately following log in ""to keep you secure"". So secure no one can use it. Please sort this out vodafone."
"October 16, 2019",1,Karen O'brien, I want to add money to my account and this notification on my vodafone page dies nit have a clise button. I cannot update this app with out deleting sonething off my phone and I am not ditching other apps that I use all the time to accomodate an update of this one
"October 16, 2019",2,Shereena Rolland, This app is a pain it keeps logging me out then locking me out and I have to wait to get to speak to someone from vodafone to get them to log me back in as it wont allow me to reset the password - SORT IT OUT VODAFONE!!!! Unhappy customer of 29 years
"October 26, 2019",4,Haych NZ," Actually works unlike the versions of old. Can't work out why there's a need for forced updates, not allowing you to login until you do update."
"October 18, 2019",4,Mr Edwards," I love the app but it would be cool if I could click on my bill when opening the PDF and read it offline using my PDF reader on the same device. Other than that, yeah pretty happy!"
"October 31, 2019",3,Lily H, Haven't been able to use app for past month as it won't go past the loading screen. Very annoying as now I can't top up my credit through app
"October 31, 2019",1,Sam Gre," Cant even login most of the time. My information is always ""unavaliable"" and when it's not, top ups always come up with an error. Cant top up through this app 👍"
