Number,Text
1,the provision of end-users’ feedback
2,"numerous reviews 4, which are open to public access"
3,"significantly assists app developers in their end-users’ driven software quality evaluations, product marketing, and software maintenance"
4,manually extracting useful reviews from vast volumes of reviews
5,"high levels of cognitive load, effort, and time. The"
6,non-useful reviews present in the app reviews repository of
7,and so on. The filtering of non- useful reviews
8,Naïve Bayes method stands out as one of the most suitable for
9,we have not observed published efforts aimed at
10,related to the extraction of useful reviews. Section 3 describes the
11,and concepts that assisted us in formulating the variants of Naïve Bayes. The
12,https://play.google.com/store 2 https://www.apple.com/nz/ios/app-store
13,to perform filtering based on disambiguation (contextual mean- ing) of the
14,"For instance, Keertipati et al. 9 have extracted app features"
15,Fu et al. 10 have performed sentiment analysis using logistic regression to
16,with the assumption that negative reviews reflect severe app issues
17,"In another study, Shah et al. 12 have evaluated the"
18,"requests, bugs or suggestions associated with the app features 16 (e.g"
19,Such approach classifies app reviews having common attributes into specific categories
20,"based on a taxonomy derived manually from domain knowledge, as a review of the literature shows that all the classification methods for classifying app reviews are dependent on domain knowledge made available manually through means of extensive research or by domain experts. For instance, Panichella et al. 18 have inherited a taxonomy from the taxonomy proposed by Pagano et al. 3 and have evaluated the classification performance SVM (Support Vector Machines"
21,"Naïve Bayes, Decision Tress and Logistic Regression. Pagano et al. 3 have manually as- signed categories that constitute a taxonomy for classifying app reviews. Similarly, Maalej et al. 4 manually developed four categories to classify app reviews using methods such as keyword lookup classifying mechanism, Decision Tress, Naïve Bayes and Maximum En- tropy. Such studies have provided inspiration for others. For instance, Panichella et al. 19 developed a manual taxonomy that was inherited from the taxonomy created by Panichella et al. 18 to automatically classify reviews using the J48 supervised machine learning method. In another study, Ciurumelea et al. 20 have come up with five sets of categories by taking inspiration from"
22,and created a taxonomy to classify reviews using Gradient Boosting supervised machine learning method. Similarly
23,Sorbo et al. 21 have developed a fine-grained taxonomy from the taxonomy proposed by Panichella et al. 18 which consists of additional categories over the study it is based on
24,the classification methods that classified reviews of apps we
25,"This drawback being, that all the classification methods were driven by manually derived taxonomy which is problematic when the domain knowledge is"
26,Another drawback of utilizing a manually created taxonomy
27,to update the domain knowledge to create a new version of the taxonomy when the app evolves and new reviews are logged by the end-users
28,"reviews that reflect feature requests, bugs or"
29,a set of linguistic rules to extract app feature requests
30,Huang et al. 26 have developed a
31,from a training set of manually pre-labelled
32,"appropriate labels (i.e., availability, look and"
33,"In a recent study, Panichella et. al 27 have"
34,a large amount of pre-classified learning data
35,"That said, Multinomial Naïve Bayes is"
36,supervised machine learning method that has been empirically evaluated to be a suitable choice for text related software engineering applications
37,"due to its handling of generalization towards predictions on new data, further leading towards the requirement of less training data for learning"
38,Multinomial Naïve Bayes 32. This method has been
39,widely used in software engineering applications such as
40,"were not provided. In addition, even though Naïve Bayes was utilized to filter useful reviews belonging to four apps"
41,the performance of Naïve Bayes variants for their utility towards extracting useful app reviews
42,raises the question: Under which circumstances does Naïve Bayes method deliver the best performance
43,Naïve Bayes methods and concepts that are specialized in
44,variants of the Naïve Bayes method. The
45,is to assist app developers in
46,useful reviews for software maintenance and evolution
47,"What are the performances of Naïve Bayes variants when extracting useful reviews? RQ2. Are there differences in outcomes for different Naïve Bayes implementations, and par- ticularly when considering data imbalances? The"
48,"As app developers need to address useful reviews in a timely manner, time"
49,"different experimental settings (i.e., research methodology, data for experimentation, validation procedures and"
50,"3. Methods and Concepts In this section, we introduce the"
51,and concepts which assisted us in generat- ing the respective variants
